URL,name,price,ingredients,pred_type
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Isana-maska-do-wlosow-jednominutowa-Olejek-Arganowy-i-Zurawina-25-ml,376800,13183","ISANA, maska do włosów jednominutowa, Olejek Arganowy i Żurawina, 25 ml",2.99,"Aqua, Dicaprylyl Ether, Cetyl Alcohol, Cetrimonium Chloride, Stearamidopropyl Dimethylamine, Stearyl Alcohol, Argania Spinosa Kernel Oil, Phenoxyethanol, Parfum, Potassium Sorbate, Vaccinium Macrocarpon Seed Oil, Citric Acid, Niacinamide, Benzoic Acid, Dehydroacetic Acid, Ethylhexylglycerin, Tocopherol.",E
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Isana-maska-do-wlosow-jednominutowa-Kwiat-Wisni-25-ml,2107527,13183","ISANA, maska do włosów, jednominutowa, Kwiat Wiśni, 25 ml",2.99,"Aqua, Dicaprylyl Ether, Cetyl Alcohol, Cetrimonium Chloride, Stearamidopropyl Dimethylamine, Stearyl Alcohol, Panthenol, Potassium Sorbate, Pentylene Glycol, Phenoxyethanol, Benzyl Alcohol, Parfum, Triticum Vulgare Bran Extract, Caffeine, Benzaldehyde, Caprylyl Glycol, 1,2-Hexanediol, Tocopherol, Sodium Sulfate, Sodium Chloride, CI 14720, CI 13015, CI 16035.",EH
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Stars-Slay-Spray-odzywka-do-wlosow-w-sprayu-nawilzenie-i-elastycznosc-150-ml,2110392,13183","STARS, Slay & Spray, odżywka do włosów, w sprayu, nawilżenie i elastyczność, 150 ml",27.49,"Aqua, Cetearyl Alcohol, Hibiscus Sabdariffa Flower Extract, Macadamia Integrifolia Seed Oil, Argania Spinosa (Argan) Kernel Oil, Helianthus Annuus (Sunflower) Seed Oil, Dimethicone, Dimethiconol, Caprylic/Capric Triglyceride, Propanediol, Cetyl Alcohol, Behentrimonium Methosulfate, Cetrimonium Chloride, Citric Acid, Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate, Parfum, Tetramethyl Acetyloctahydronaphthalenes, Benzyl Benzoate, Benzyl Salicylate, Coumarin, Citrus Aurantium Peel Oil, Citronellol, Limonene, Vanillin.",EH
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/OnlyBio-Hair-In-Balance-odzywka-do-wlosow-emolientowa-200-ml,354506,13183","ONLYBIO HAIR IN BALANCE, odżywka do włosów, emolientowa, 200 ml",13.99,"Aqua, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Behentrimonium Chloride, Linum Usitatissimum (Linseed) Seed Oil, Persea Gratissima (Avocado) Oil, Rubus Chamaemorus Fruit Extract, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Cetrimonium Chloride, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Parfum, Citronellol, Geraniol.",E
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/LOreal-Paris-Elseve-Hyaluron-Plump-odzywka-do-wlosow-nawilzajaco-scalajaca-72H-Kwas-Hialuronowy-,390611,13183","L'ORÉAL PARIS ELSEVE, Hyaluron Plump, odżywka do włosów, nawilżająco-scalająca, 72H, Kwas Hialuronowy, włosy odwodnione, 200 ml",18.49,"Aqua / Water / Eau, Cetearyl Alcohol, Dimethicone, Glycerin, Behentrimonium Chloride, Ci 17200 / Red 33, Ci 42090 / Blue 1, Lactic Acid, Sodium Laureth Sulfate, Sodium Hydroxide, Sodium Hyaluronate, Phenoxyethanol, Limonene, Amodimethicone, Isopropyl Alcohol, Cetrimonium Chloride, Parfum / Fragrance (F.I.L. N70045742/1).",EH
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/OnlyBio-Hair-In-Balance-odzywka-do-wlosow-wygladzajaca-200-ml,2072636,13183","ONLYBIO HAIR IN BALANCE, odżywka do włosów, wygładzająca, 200 ml",13.99,"Aqua, Cetearyl Alcohol, Dimethicone, Behentrimonium Chloride, C13-15 Alkane, Cetyl Esters, Cetrimonium Chloride, Camellia Japonica Seed Oil, Carica Papaya Fruit Extract, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Sodium Benzoate, Potassium Sorbate, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Tocopherol, Parfum, Limonene, Hydroxycitronellal.",EH
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/OnlyBio-Hair-In-Balance-odzywka-do-wlosow-bez-splukiwania-150-ml,390252,13183","ONLYBIO HAIR IN BALANCE, odżywka do włosów, bez spłukiwania, 150 ml",13.99,"Aqua, Cyclopentasiloxane, Cetearyl Alcohol, Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate, Dicaprylyl Carbonate, Distearoylethyl Dimonium Chloride, Brassica Oleracea Italica(Broccoli) Seed Oil, Robinia Pseudoacacia Flower Extract, Butyrospermum Parkii (Shea) Butter, Persea Gratissima (Avocado) Oil, Cetrimonium Chloride, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Citric Acid, Sodium Benzoate, Potassium Sorbate, Tocopherol, Parfum, Citral, Citronellol, Limonene, Linalool.",E
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Neboa-Hydration-Smoothness-odzywka-do-wlosow-wlosy-suche-i-puszace-sie-naturalna-300-ml,368469,13183","NEBOA, Hydration & Smoothness, odżywka do włosów, włosy suche i puszące się, naturalna, 300 ml",27.49,"Aqua, Cetearyl Alcohol, Coco-Caprylate/Caprate, Behentrimonium Methosulfate, Propanediol, Isoamyl Laurate, Butyrospermum Parkii Butter, Sodium Hyaluronate, Melia Azadirachta Leaf Extract, Hydrolyzed Pea Protein, Coconut Alkanes, Guar Hydroxypropyltrimonium Chloride, Panthenol, Glycerin, Parfum, Citric Acid, Dehydroacetic Acid, Benzyl Alcohol, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate.",PEH
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Isana-Professional-Plex-odzywka-do-wlosow-250-ml,2079185,13183","ISANA PROFESSIONAL, Plex, odżywka do włosów, 250 ml",9.99,"Aqua, Glycerin, Cetearyl Alcohol, Behentrimonium Chloride, Isopropyl Palmitate, Panthenol, Oryza Sativa Seed Protein, Phytic Acid, Oryza Sativa Extract, Hydrolyzed Adansonia Digitata Seed Extract, Cocos Nucifera Oil, Parfum, Calcium Gluconate, Isopropyl Alcohol, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Rice Amino Acids, Proline, Sodium Benzoate, Potassium Sorbate, Citric Acid, Gluconolactone.",PEH
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Schwarzkopf-Gliss-Ultimate-Repair-odzywka-do-wlosow-mocno-zniszczonych-ekspresowa-200-ml,135373,13183","SCHWARZKOPF GLISS, Ultimate Repair, odżywka do włosów mocno zniszczonych, ekspresowa, 200 ml",21.49,"Aqua (Water, Eau), Cyclomethicone, Phenyl Trimethicone, Hydrolyzed Keratin, Hydrolyzed Pearl, Lactic Acid, Sodium Benzoate, Glycerin, Dimethiconol, Cetrimonium Chloride, Potassium Sorbate, Coumarin, Sorbic Acid, Phenoxyethanol, Cetyl PEG/PPG-10/1 Dimethicone, Polyquaternium-16, Parfum (Fragrance), Linalool, Limonene, Benzyl Salicylate, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Geraniol, Benzyl Alcohol, CI 19140 (Yellow 5), CI 17200 (Red 33).",PE
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Anwen-Emolientowa-Morela-odzywka-do-wlosow-bez-splukiwania-150-ml,394254,13183","ANWEN, Emolientowa Morela, odżywka do włosów, bez spłukiwania, 150 ml",37.99,"Aqua, Cetearyl Alcohol, Coco-Caprylate, Pyrus Malus Seed Oil, Triticum Vulgare Germ Oil, Papaver Somniferum Seed Oil, Behentrimonium Methosulfate, Inulin, Octyldodecanol, Hydrogenated Coco-Glycerides, Helianthus Annuus Seed Extract, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Acacia Senegal Gum Extract, Linum Ussitatissimum Seed Extract, Althea Officinalis Root Extract, Prunus Amygdalus Dulcis Fruit Extract, Xanthan Gum, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Glycerin, Tocopheryl Acetate, Lactic Acid, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Parfum.",EH
